Soilcolor,Soil_pH,Potassium,Phosphorus,Zinc,Sulphur,Nitrogen,Annual_Humidity,Annual_Temperature,Annual_Precipitation,WindDirection_10m,Topsoil_Moisture,Cloud_Amount,WindSpeed_2m_Range,Pressure,label
brown,5.81,2.87,0.81,0.6,1.17,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,5.43,2.78,1.06,0.61,1.24,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,5.41,2.59,0.89,0.88,1.24,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
red,5.65,2.32,0.65,0.16,1.23,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
red,5.27,2.5,1.61,0.57,1.13,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,5.06,2.17,0.98,0.74,1.27,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
red,5.57,2.48,0.5,0.38,1.09,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,5.2,2.58,1.5,0.44,1.18,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
red,5.34,2.6,0.87,0.54,1.15,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
gray,5.95,2.36,1.46,0.16,1.26,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
red,5.47,2.34,0.26,0.24,1.11,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,6.43,2.62,1.68,0.34,1.21,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
red,6.06,2.18,0.4,0.24,1.09,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,5.6,2.63,0.68,0.49,1.12,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,6.03,2.55,1.83,0.33,1.27,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
gray,5.25,2.22,0.56,0.66,1.05,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
brown,6.17,1.89,0.86,0.29,1.07,0.23,10.02,17.33,24.91,3.44,0.73,56.57,6.24,77.03,Barley
black,6.15,2.07,0.78,0.45,1.04,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.79,2.14,0.77,0.58,1,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.99,1.92,1.12,0.32,1.07,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.9,2.3,0.48,0.43,1.19,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.65,2.59,0.15,0.35,1.06,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.84,2.17,1.12,0.38,1.09,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.99,1.75,0.93,0.37,1.1,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.8,2.44,0.7,0.48,1,0.32,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6.3,2.45,1.91,0.34,1.09,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.93,2.37,0.9,0.29,1.1,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.05,1.99,0.91,0.28,1.1,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.63,2.71,0.69,0.23,1.15,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.99,2.61,1.88,0.48,1.25,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.9,2.54,1.11,0.65,1.08,0.25,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.2,2.14,0.99,0.62,1.12,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,6.21,2.25,1.15,0.39,1.02,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.57,1.86,0.96,0.62,0.84,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.05,2.84,2.23,0.45,1.22,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.01,2.46,1.78,0.44,1.06,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
black,5.85,2.27,0.68,0.39,1.11,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,6.15,1.96,0.79,0.3,1.08,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,6.1,2.62,1.11,0.51,0.9,0.24,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
brown,5.57,2.43,0.9,0.31,1.15,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.45,2.65,0.57,0.62,1.15,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
brown,5.61,2.21,0.72,0.37,1.12,0.23,8.6,18.24,13.15,75.69,0.65,0.46,46.1,74.17,Barley
red,6,2,0.85,0.22,1.07,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
red,5.74,2.25,0.62,0.31,1.12,0.23,9.04,15.05,13.81,81.06,0.69,53.45,6.48,75.83,Barley
